chunk_id,text_id,subject,relation,object,text
Modulino Pixels::c6,6,"Interference","may_cause","undesired operation","including interference that may cause undesired operation."
Arduino Nano ESP32::c7,7,"Nano ESP32","has_port","USB-C port","The Nano ESP32 has one USB-C® port"
Arduino Nano ESP32::c7,7,"USB-C port","used_for","powering board","used to power your board"
Arduino Nano ESP32::c7,7,"USB-C port","used_for","programming board","used to ... program your board"
Arduino Nano ESP32::c7,7,"USB-C port","supports","serial communication","sending & receiving serial communication"
Arduino Nano ESP32::c7,7,"Board","must_not_be_powered_with_more_than","5 V via USB-C port","you should not power the board with more than 5 V via the USB-C® port"
rduino Nano ESP32::c8,8,"NORA-W106-10B module","supports_standard","Wi-Fi 4 IEEE 802.11 b/g/n","supports the Wi-Fi® 4 IEEE 802.11 standards b/g/n"
Arduino Nano ESP32::c8,8,"NORA-W106-10B module","has_output_power","10 dBm EIRP","with an output power EIRP at up to 10 dBm"
Arduino Nano ESP32::c8,8,"NORA-W106-10B module","has_max_range","500 meters","The max range for this module is 500 meters"
Arduino Nano ESP32::c8,8,"802.11b","has_max_data_rate","11 Mbit/s","802.11b: 11 Mbit/s"
Arduino Nano ESP32::c8,8,"802.11g","has_max_data_rate","54 Mbit/s","802.11g: 54 Mbit/s"
Arduino Nano ESP32::c8,8,"802.11n","has_max_data_rate","72 Mbit/s at HT-20 (20 MHz)","802.11n: 72 Mbit/s max at HT-20 (20 MHz)"
Arduino Nano ESP32::c8,8,"802.11n","has_max_data_rate","150 Mbit/s at HT-40 (40 MHz)","150 Mbit/s max at HT-40 (40 MHz)"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","is_designed_for","prototyping and automation applications","is a versatile solution for prototyping and automation applications"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","integrates_with","Portenta family boards","integrates seamlessly with Portenta and Nicla family boards"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","integrates_with","Nicla family boards","integrates seamlessly with Portenta and Nicla family boards"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","integrates_with","Modulino","integrates seamlessly with ... Modulino®"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","integrates_with","UNO Shields","integrates seamlessly with ... UNO Shields"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","supports_capabilities","advanced sensing","offering, advanced sensing"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","supports_capabilities","data processing","offering, ... data processing"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","supports_capabilities","connectivity","offering, ... connectivity support"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Nicla Vision","is_used_for","machine vision","Boards like Nicla Vision for machine vision"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Nicla Sense ME","is_used_for","environmental monitoring","Nicla Sense ME for environmental monitoring"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","enables","real-time analysis","enable real-time analysis"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","supports","cloud integration","enable ... cloud integration"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","is_suitable_for","industrial automation","making it ideal for industrial automation"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","is_suitable_for","building automation","making it ideal for ... building automation"
Arduino Portenta Mid Carrier Proto Shield::c9,9,"Portenta Mid Carrier Proto Shield","is_suitable_for","smart city solutions","making it ideal for ... smart city solutions"
Arduino Portenta Mid Carrier Proto Shield::c10,10,"Portenta Mid Carrier Proto Shield","has_connector","two ESLOV connectors","has two ESLOV connectors"
Arduino Portenta Mid Carrier Proto Shield::c10,10,"Portenta Mid Carrier Proto Shield","has_connector","one QWIIC connector","has ... one QWIIC connector"
Arduino Portenta Mid Carrier Proto Shield::c10,10,"Portenta Mid Carrier Proto Shield","supports_communication","I2C communication","connector for I2C communication"
Arduino Portenta Mid Carrier Proto Shield::c10,10,"Portenta Mid Carrier Proto Shield","ensures","uninterrupted connectivity","ensuring uninterrupted connectivity"
Arduino Portenta Mid Carrier Proto Shield::c10,10,"Portenta Mid Carrier Proto Shield","connects_with","sensors","connectivity with sensors"
Arduino Portenta Mid Carrier Proto Shield::c10,10,"Portenta Mid Carrier Proto Shield","connects_with","peripherals","connectivity with ... peripherals"
